,Project Name,Merge Scenario,Conflicting LOC,RefMerge Conflicting LOC,IntelliMerge Conflicting LOC
0,cassandra,56b979bec6c2d7602982baad622f52860baa0cb9,15,17,-1
1,cassandra,edffdf6dcc092780757e278d5df789653f20bf37,7,0,-1
2,cassandra,8e61e216a67304482f4373fb8b53012a25404026,10,-1,-1
3,cassandra,ac7df513ac63b8699382f59fa86f5fc72f6779db,7,-1,0
4,cassandra,56f6cd9fba57a879377113af11ed4303f3697e77,8,0,-1
5,cassandra,ae51f0fd12820707927803fdbe63581f33111d4b,249,-1,-1
6,cassandra,7976777bccbe8b90db7d41cb666bcb9060d78bd4,49,33,-1
7,cassandra,880b07c2e63f6e1dea92995a1baa14707e3c2e5e,13,-1,-1
8,cassandra,44c4e1f7874c962309a853fa2434a9dd4ae16aeb,435,-1,-1
9,cassandra,90f68a5f9439ed41e585e4946381c91ab1de6599,8,-1,-1
10,cassandra,d6beb0113f43233e4dc8b636328c3159ae61e969,100,-1,-1
11,cassandra,6f213727b678be4ee6ec350bd3ed1869db394ae9,20,-1,-1
12,cassandra,50608af522f54976254edc4fe49525fcb82abd71,81,-1,-1
13,cassandra,ec15c0fd5ff8f8fb2567f269dd8833cd5b7b62ae,70,-1,-1
14,cassandra,824d25a18b258f54bff69f415d9984fa04fda298,69,-1,-1
15,cassandra,da6268de3ef9ccaf3d2d9f98f4cf84a1cb696d95,46,-1,-1
16,cassandra,35a9b501b2f7b9c5818aa3a55be08762b0555650,21,-1,-1
17,cassandra,70303563e9796ccc87581f5d41071b624872815e,40,40,-1
18,cassandra,5069b2c0ffc3aa335523e7b598cae05ee50ded8a,624,-1,-1
19,cassandra,bba0d03e9c5e62c222734839a9adc83f1aec6f95,122,122,-1
20,cassandra,84fb7fa6f1b2f2771ba77a64f398cddd00bac914,4,0,-1
21,cassandra,19a547861ad6c68e4ce584ee1b9ffee66bd5042d,4,4,-1
22,cassandra,adc32ac836e90b8c4503030feb76ce031998ad80,61,-1,-1
23,cassandra,817f3c282debd8f00a7803bee4950cdc73ec7fcc,7,7,-1
24,cassandra,9815c46679ad14b038f0314a9b9611e099750724,183,-1,-1
